ID,Country_Name,Country_Code,Indicator_Name,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017
158,Middle East & North Africa,MEA,Total natural resources rents (% of GDP),25.2642176,32.1589034,31.339167,29.6122193,26.6312802,15.6772504,12.7434791,16.1596341
159,Middle East & North Africa (excluding high income),MNA,Total natural resources rents (% of GDP),21.8555574,25.8099885,24.7940136,23.9821261,21.6929628,12.9717573,10.7601997,15.3353829
160,Middle East & North Africa (IDA & IBRD countries),TMN,Total natural resources rents (% of GDP),22.0037245,25.9915698,24.964264,24.1770093,21.8749849,13.0925698,10.8650181,15.4998141
161,Middle income,MIC,Total natural resources rents (% of GDP),8.0367925,9.8384132,7.9153314,6.7689316,5.7083154,3.3258391,2.9174248,3.619627
162,Moldova,MDA,Total natural resources rents (% of GDP),0.1388688,0.1731094,0.1725951,0.2846754,0.3056517,0.3296771,0.2833136,0.2666578
163,Monaco,MCO,Total natural resources rents (% of GDP),,,,,,,,
164,Mongolia,MNG,Total natural resources rents (% of GDP),38.6821356,45.5782679,25.9215176,23.9896857,25.6694621,19.4285725,28.3706622,37.6447612
165,Montenegro,MNE,Total natural resources rents (% of GDP),1.0341633,1.4060272,0.9204413,0.6702737,0.8303841,0.85862,1.0141403,1.6593518
166,Morocco,MAR,Total natural resources rents (% of GDP),2.2140063,3.6915359,4.2462653,2.3252177,2.0691837,2.5015811,2.208309,1.7957781
167,Mozambique,MOZ,Total natural resources rents (% of GDP),11.2440038,12.0626656,13.5574458,12.7452265,13.3023452,13.2722264,16.8413573,18.8906659
168,Myanmar,MMR,Total natural resources rents (% of GDP),5.8397063,6.6946797,6.4835365,6.3697557,8.002151,6.8134205,6.085379,6.6571562
169,Namibia,NAM,Total natural resources rents (% of GDP),2.9023669,2.7093144,2.4341606,2.239996,2.6345013,3.6073831,4.4785816,4.9316501
170,Nauru,NRU,Total natural resources rents (% of GDP),,,,,,,,
171,Nepal,NPL,Total natural resources rents (% of GDP),1.4707478,1.2717476,1.1050279,0.9575046,0.977154,1.1003296,1.281175,0.8809015
172,Netherlands,NLD,Total natural resources rents (% of GDP),0.9065662,1.2014632,1.3353024,1.2952072,0.8002498,0.4804848,0.286239,0.3604492
173,New Caledonia,NCL,Total natural resources rents (% of GDP),,,,,,,,
174,New Zealand,NZL,Total natural resources rents (% of GDP),2.2004261,2.2936117,1.9609338,1.7348308,1.5469598,1.3585596,1.0837549,1.182875
