ID,Country_Name,Country_Code,Indicator_Name,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017
195,Portugal,PRT,Population male (% of total population),47.8562635,47.7402098,47.6252262,47.5178375,47.425924,47.3553641,47.3101358,47.2895683
196,Post-demographic dividend,PST,Population male (% of total population),49.0076002,49.0149295,49.0232732,49.0322298,49.0425324,49.0535555,49.0656117,49.0780655
197,Pre-demographic dividend,PRE,Population male (% of total population),49.9246944,49.9342227,49.9470428,49.9617931,49.9766841,49.9905287,50.0031232,50.0147838
198,Puerto Rico,PRI,Population male (% of total population),48.022734,48.0123106,47.9883899,47.9510198,47.9001015,47.8363821,47.7556264,47.6569661
199,Qatar,QAT,Population male (% of total population),76.4567596,76.710946,76.6733695,76.4695309,76.2242793,76.0105593,75.8339333,75.6674338
200,Romania,ROU,Population male (% of total population),48.5545427,48.5625114,48.5897369,48.6269656,48.6607309,48.6814223,48.6853086,48.6752445
201,Russian Federation,RUS,Population male (% of total population),46.3770792,46.3599051,46.3469137,46.3378262,46.3322646,46.3298463,46.3303519,46.3334047
202,Rwanda,RWA,Population male (% of total population),49.015971,49.0342438,49.0529655,49.0713625,49.0885431,49.1038402,49.1170108,49.1284755
203,Samoa,WSM,Population male (% of total population),51.6171536,51.6170674,51.6285982,51.6496078,51.6746436,51.6960364,51.7148144,51.7311807
204,San Marino,SMR,Population male (% of total population),,,,,,,,
205,Sao Tome and Principe,STP,Population male (% of total population),49.9839221,50.0262843,50.0392794,50.0380058,50.0288667,50.0263238,50.0273102,50.0323537
206,Saudi Arabia,SAU,Population male (% of total population),56.2606313,56.3629175,56.4635331,56.574781,56.7113243,56.8797443,57.0880532,57.3245977
207,Senegal,SEN,Population male (% of total population),48.6846851,48.6608141,48.6398214,48.6252315,48.6211881,48.6299161,48.6517904,48.6841342
208,Serbia,SRB,Population male (% of total population),49.0083701,49.0161552,49.0202141,49.0208986,49.0193503,49.0163491,49.0117363,49.0053199
209,Seychelles,SYC,Population male (% of total population),51.5946666,51.7032716,51.700717,51.6290673,51.5348037,51.4597656,51.4099738,51.3752619
210,Sierra Leone,SLE,Population male (% of total population),49.7628762,49.7766499,49.7899468,49.8030806,49.8166992,49.8312095,49.8465516,49.862608
211,Singapore,SGP,Population male (% of total population),52.1351076,52.2784043,52.3412464,52.3492537,52.3379243,52.3320666,52.3348825,52.3381223
212,Sint Maarten (Dutch part),SXM,Population male (% of total population),,,,,,,,
213,Slovak Republic,SVK,Population male (% of total population),48.5046425,48.5180993,48.5334339,48.5505986,48.5698676,48.5909044,48.6140484,48.6384211
214,Slovenia,SVN,Population male (% of total population),49.5503921,49.621553,49.6591549,49.6742313,49.6818845,49.6934867,49.7115762,49.7324449
215,Small states,SST,Population male (% of total population),51.6058326,51.7727636,51.8907626,51.9756549,52.0494395,52.1266379,52.2113059,52.2960724
216,Solomon Islands,SLB,Population male (% of total population),50.8061781,50.7916576,50.7941503,50.8052278,50.8202474,50.8307455,50.8383406,50.8428848
217,Somalia,SOM,Population male (% of total population),49.9510125,49.9357846,49.9212024,49.9077406,49.8959033,49.8858754,49.8778729,49.8716548
218,South Africa,ZAF,Population male (% of total population),49.3381441,49.3464944,49.3546899,49.3606558,49.3619081,49.3569167,49.3450865,49.3274159
219,South Asia,SAS,Population male (% of total population),51.761532,51.7433675,51.7240411,51.7043444,51.6860361,51.6702532,51.6571874,51.6465587
220,South Asia (IDA & IBRD),TSA,Population male (% of total population),51.761532,51.7433675,51.7240411,51.7043444,51.6860361,51.6702532,51.6571874,51.6465587
221,South Sudan,SSD,Population male (% of total population),49.9822577,49.9936576,50.0030355,50.0109609,50.0180675,50.0248002,50.0313224,50.0376325
222,Spain,ESP,Population male (% of total population),49.4260245,49.3788198,49.3071817,49.2247013,49.1510195,49.1007044,49.0795594,49.0831252
223,Sri Lanka,LKA,Population male (% of total population),48.6943075,48.5799688,48.471102,48.3699093,48.2790062,48.1999734,48.1338129,48.0793333
224,St. Kitts and Nevis,KNA,Population male (% of total population),,,,,,,,
225,St. Lucia,LCA,Population male (% of total population),49.2142086,49.2309358,49.2403229,49.2436833,49.2442809,49.2438495,49.2451174,49.2481556
226,St. Martin (French part),MAF,Population male (% of total population),,,,,,,,
227,St. Vincent and the Grenadines,VCT,Population male (% of total population),50.8978385,50.9412362,50.9604832,50.9638754,50.9506926,50.9286663,50.8911361,50.844973
228,Sub-Saharan Africa,SSF,Population male (% of total population),49.7873547,49.7984534,49.8108636,49.8240709,49.8374283,49.8504676,49.8630846,49.8752766
229,Sub-Saharan Africa (excluding high income),SSA,Population male (% of total population),49.7874847,49.7985911,49.8110178,49.8242513,49.8376448,49.8507248,49.8633902,49.8756348
230,Sub-Saharan Africa (IDA & IBRD countries),TSS,Population male (% of total population),49.7873547,49.7984534,49.8108636,49.8240709,49.8374283,49.8504676,49.8630846,49.8752766
231,Sudan,SDN,Population male (% of total population),49.8835577,49.8730399,49.8796188,49.8967902,49.9158913,49.9309898,49.9410589,49.9479754
